country,ifs,id,year,enp_lt,enp_mol,enp_gol,rgdpe,rent ,formgov,elecsys,demstock,ethfrac,elections,bi_elections
Albania,ALB,1,1994,1.96747641,1.295852205,1.583739124,12423.66797,34.39718926,2,0,-313,0.087878,1,1
Albania,ALB,1,1995,1.96747641,1.295852205,1.583739124,13408.30566,52.76979069,2,0,-310,0.087878,1,0
Albania,ALB,1,1996,1.96747641,1.295852205,1.583739124,15897.17188,47.62858556,2,0,-310,0.087878,1,0
Albania,ALB,1,1997,1.306144209,1.010619059,1.159894756,12886.21484,42.84613972,2,0,-307,0.087878,2,1
Albania,ALB,1,1998,2.099650193,1.178533356,1.645247538,12879.90039,25.87470471,2,0,-304,0.087878,3,1
Albania,ALB,1,1999,2.099650193,1.178533356,1.645247538,14811.45703,49.50066409,2,0,-301,0.087878,3,0
Albania,ALB,1,2000,2.099650193,1.178533356,1.645247538,15202.24512,61.83734685,2,0,-298,0.087878,3,0
Albania,ALB,1,2001,2.099650193,1.178533356,1.645247538,15719.46387,45.62338065,2,0,-295,0.087878,3,0
Armenia,ARM,2,1998,3.091432785,2.073930611,2.513998303,8544.874023,0.160954535,1,0,15,0.1150442,1,1
Armenia,ARM,2,1999,3.091432785,2.073930611,2.513998303,8559.456055,0.141426531,1,0,18,0.1150442,1,0
Armenia,ARM,2,2000,3.584537738,2.096988608,2.866138221,8886.450195,0.363153248,1,0,21,0.1150442,2,1
Armenia,ARM,2,2001,3.584537738,2.096988608,2.866138221,9665.518555,0.296621494,1,0,24,0.1150442,2,0
Armenia,ARM,2,2002,3.584537738,2.096988608,2.866138221,10821.38281,0.460033866,1,0,26,0.1150442,2,0
Armenia,ARM,2,2003,3.584537738,2.096988608,2.866138221,12198.10449,0.520582254,1,0,29,0.1150442,2,0
Armenia,ARM,2,2004,5.152201258,3.934162414,4.604705053,13410.93848,0.973893202,1,0,32,0.1150442,3,1
Armenia,ARM,2,2005,5.152201258,3.934162414,4.604705053,15115.86426,0.901248507,1,0,35,0.1150442,3,0
Armenia,ARM,2,2006,5.152201258,3.934162414,4.604705053,17321.05859,1.788808562,1,0,37,0.1150442,3,0
Armenia,ARM,2,2007,5.152201258,3.934162414,4.604705053,20042.69336,1.297041924,1,0,40,0.1150442,3,0
Armenia,ARM,2,2008,3.226965024,1.663232939,2.475067782,21336.4082,1.294546362,1,0,43,0.1150442,4,1
Armenia,ARM,2,2009,3.226965024,1.663232939,2.475067782,19388.19922,1.656626805,1,0,45,0.1150442,4,0
